Stærstu deildarsigrar og töp íslenskra karlaliða í knattspyrnu er tafla yfir metsigra og -tapleiki íslenskra karlaliða í knattspyrnu. Taldar eru viðureignir liðanna í deildarkeppni KSÍ.
9:0 gegn Boltafélaginu Bruna, D-deild 2001
7:0 gegn Knattspyrnufélagi Rangæinga, D-deild 2008
7:0 gegn KFK, D-deild 2009
9:2 gegn KFK, D-deild 2009
0:7 gegn Berserkjum, D-deild 2008
15:1 gegn  Skautafélagi Reykjavíkur, D-deild 1996
0:11 gegn  Breiðabliki B-deild 1975
0:11 gegn  Aftureldingu, D-deild 1998
19:0 gegn Stjörnunni Berufirði, D-deild 1986
0:12 gegn  Þrótti Nes.,  C-deild 1983
11:0 gegn  Skallagrími, B-deild 1986 
0:16 gegn  Víkingum,  B-deild 2013 
17:0 gegn  Snæfelli, D-deild 2012
0:8 gegn  Ungmennafélagið Fjölnir, D-deild 2000
0:8 gegn Boltafélaginu Bruna, D-deild 2000
15:1 gegn Kóngunum, E-deild 2015
14:0 gegn  Snæfelli, E-deild 2016
0:11 gegn  Haukum, D-deild 2000
16:1 gegn Afríku, D-deild 2007
0:9 gegn  HK, D-deild 2001
0:9 gegn  Fjarðabyggð, D-deild 2013
19:0 gegn Kóngunum, E-deild 2019
0:7 gegn Elliða, D-deild 2021
19:0 gegn Austra Raufarhöfn, D-deild 1990
1:9 gegn Reynir Árskógsströnd, C-deild 1974
13:0 gegn Árvakri, D-deild 1992
2:10 gegn  FH, B-deild 1979
0:8 gegn  KS, B-deild 1965
0:8 gegn  ÍR, B-deild 1997
0:8 gegn  Fjölni, B-deild 2007
18:0 gegn Afríku, D-deild 2007
0:8 gegn  Fylki, B-deild 1995
15:1 gegn  Snæfell/UDN, E-deild 2017
1:9 gegn  Álftanesi, E-deild 2017
